Source,Episode,Vocabulary,Type,Description,Example
,,paparazzi   ( noun ),,the photographers who follow famous people everywhere they go in order to take photographs of them for newspapers and magazines,
,,duke   ( noun ),,"a man of very high rank in a country, or the ruler of a small independent country",
,,duchess   ( noun ),,(the title of) a woman who is married to a duke or who has the rank of duke:,the Duchess of Kent
,,cock   ( noun ),,an adult male chicken:,The cock started to crow.
,,undermine   ( verb ),,"to make someone less confident, less powerful, or less likely to succeed, or to make something weaker, often gradually:",The president has accused two cabinet members of working secretly to undermine his position/him.
,,slip up   ( phrasal verb ),,to make a mistake:,These figures don't make sense - have we slipped up somewhere?
,,tell on someone   ( phrasal verb ),,"to give information about someone, usually something bad that they have said or done, especially to a person in authority",
,,premises   ( noun ),,"the land and buildings owned by someone, especially by a company or organization:",The company is relocating to new premises.
,,diffuse   ( verb ),,to (cause something to) spread in many directions:,Television is a powerful means of diffusing knowledge.
,,felt-tip pen   ( noun ),,"a pen that has a point made of felt (= a thick, soft mass of fibres), used for writing and especially drawing:",I marked the location on a map with a felt-tip pen.
,,piranha   ( noun ),,"a dangerous fish that lives in South American rivers, has sharp teeth, and eats meat",
,,brandy   ( noun ),,a strong alcoholic drink made from wine and sometimes flavoured with fruits,
,,humble   ( adjective ),,not proud or not believing that you are important:,He's very humble about his success.
,,tumble   ( verb ),,to fall quickly and without control:,I lost my footing and tumbled down the stairs.
,,berk   ( noun ),,a stupid person:,I felt a right berk when I couldn't remember where I'd parked the car.
,,bollock   ( noun ),,"a rude word for a 
testicle",
,,mayhem   ( noun ),,a situation in which there is little or no order or control:,"With 20 kids running around and only two adults to supervise, it was complete mayhem."
,,semen   ( noun ),,"a thick, whitish liquid containing sperm that is produced by the sex organs of men and some male animals",
,,ramify   ( verb ),,"to spread and develop many parts or branches, or to make something do this:","An elaborate system of canals was built, leading away from the Thames and ramifying throughout the UK."
,,tapas   ( noun ),,"small amounts of Spanish food that are served, especially with alcoholic drinks, in Spanish bars and restaurants:",a tapas bar
,,cruel   ( adjective ),,extremely unkind and unpleasant and causing pain to people or animals intentionally:,Don't tease him about his weight - it's cruel.
,,likewise   ( adverb ),,in the same way:,"Just water these plants twice a week, and likewise the ones in the bedroom."
,,people person   ( noun ),,someone who is friendly and enjoys meeting and talking to people:,"Donna was a people person. She was warm, outgoing, and an excellent listener."
,,sideline   ( noun ),,an activity that you do as well as your main job:,"Jim works in a bank, but teaches French in the evenings as a sideline."
,,cohesion   ( noun ),,the situation when the members of a group or society are united:,social/national cohesion
,,sheer   ( adjective ),,"used to emphasize how very great, important, or powerful a quality or feeling is; nothing except:",The suggestion is sheer nonsense.
,,delicate   ( adjective ),,"needing careful treatment, especially because easily damaged:",Peaches have delicate skins which are easily bruised.
,,glutton   ( noun ),,a person who regularly eats and drinks more than is needed,
,,conman   ( noun ),,someone who uses dishonest or illegal methods to trick people into giving them money:,"Wheeler, a convicted conman, tricked the elderly couple into signing over their property to him."
,,poignant   ( adjective ),,causing or having a very sharp feeling of sadness:,The photograph awakens poignant memories of happier days.
,,leniency   ( noun ),,treatment in which someone is punished or judged less strongly or severely than would be expected:,The defending lawyer asked for leniency on the grounds of her client's youth.
,,procure   ( verb ),,"to get something, especially after an effort:",He'd procured us seats in the front row.
,,estranged   ( adjective ),,an estranged husband or wife is not now living with the person they are married to:,his estranged wife
,,plague   ( verb ),,"to cause worry, pain, or difficulty to someone or something over a period of time:",Financial problems have been plaguing their new business partners.
,,spark a row,,to cause conflict or a fight,"Today, the case sparked a major row involving abortion providers, MPs and pro-life campaigners."
,,overhaul   ( verb ),,"to repair an engine, machine, etc. so that every part of it works as it should:",I got the engine overhauled.
,,haul   ( verb ),,to pull something heavy slowly and with difficulty:,They hauled the boat out of the water.
,,regime   ( noun ),,a particular government or a system or method of government:,"The old corrupt, totalitarian regime was overthrown."
,,totalitarian   ( adjective ),,of or being a political system in which those in power have complete control and do not allow people freedom to oppose them:,a totalitarian regime/state
,,overthrow   ( verb ),,"to defeat or remove someone from power, using force:",He said that Allende's government in Chile was overthrown by the army and the CIA in 1973.
,,easier said than done,,be more easily talked about than put into practice.,going on an economy drive is easier said than done.
,,letch   ( noun ),,"informal for
lecher disapproving",
,,out of the question,,"too impracticable or unlikely to merit dicussion.
to be an event that cannot possibly happen.",A trip to New Zealand is out of the question this year.
,,a pain in the neck,,someone or something that is very annoying.,That child is a real pain in the neck.
,,be in two minds,,to be unable to decide about something.,I was in two minds whether or not to come this morning.
,,at a loss,,not knowing what to do,"I'm at a loss to explain what happened.
I was so embarrassed that I was at a loss for words."
,,by all means,,used to give permission.,"""May I borrow this book?"" ""By all means.""
""Could I have a glass of water, please?"" ""By all means - I'll get it for you."""
,,without a shadow of a doubt,,"If something is true without a shadow of a doubt, it is certainly true.","He makes this team stronger without a shadow of a doubt.
My ambition is definitely still the same, without a shadow of a doubt."
,,what good is,,a way of asking what the purpose of (doing) something is:,What good is sitting alone in your room?
,,the outskirts   ( noun ),,the areas that form the edge of a town or city:,The factory is in/on the outskirts of New Delhi.
,,retrospect   ( noun ),,thinking now about something in the past:,"In retrospect, I think my marriage was doomed from the beginning."
,,concur   ( verb ),,to agree or have the same opinion:,The new report concurs with previous findings.
,,subtle   ( adjective ),,"not loud, bright, noticeable, or obvious in any way:",The room was painted a subtle shade of pink.
,,provoke   ( verb ),,"to cause a reaction, especially a negative one:",The prospect of increased prices has already provoked an outcry.
,,protagonist   ( noun ),,an important supporter of an idea or political system:,Key protagonists of the revolution were hunted down and executed.
,,portray   ( verb ),,"to represent or describe someone or something in a painting, film, book, or other artistic work:",The painting portrays a beautiful young woman in a blue dress.
,,flaw   ( noun ),,"a fault, mistake, or weakness, especially one that happens while something is being planned or made, or that causes something not to be perfect:",I returned the material because it had a flaw in it.
,,trait   ( noun ),,a particular characteristic that can produce a particular type of behaviour:,His sense of humour is one of his better traits.
,,rendition   ( noun ),,"a particular way of performing a song, piece of music, or poem:","She ended the concert with a powerful rendition of ""I Will Always Love You""."
,,studded   ( adjective ),,made with metal studs fixed into the surface in a pattern:,a studded dog collar/leather jacket
,,ditch   ( verb ),,to get rid of something or someone that is no longer wanted:,The getaway car had been ditched a couple of miles away from the scene of the robbery.
,,strike out (somewhere)   ( phrasal verb ),,to start on a long or difficult journey in a determined way:,"In heavy rain, we struck out across the valley."
,,lurch   ( verb ),,"to move in a way that is not regular or normal, especially making sudden movements backwards or forwards or from side to side:",The train lurched forward and some of the people standing fell over.
,,resurgence   ( noun ),,a new increase of activity or interest in a particular subject or idea that had been forgotten for some time:,The creation of independent states has led to a resurgence of nationalism.
,,groupie   ( noun ),,a person who likes a particular popular singer or other famous person and follows them to try to meet them,
,,fuss   ( verb ),,"to give too much attention to small matters that are not important, usually in a way that shows that you are worried and not relaxed:","Please, stop fussing - the food's cooking and there's nothing more to do until the guests arrive."
,,generic   ( adjective ),,"shared by, typical of, or relating to a whole group of similar things, rather than to any particular thing:",The new range of engines all had a generic problem with their fan blades.
,,catchy   ( adjective ),,(especially of a tune or song) pleasing and easy to remember:,a song with catchy lyrics
,,pitch   ( verb ),,"to move or be moved suddenly, especially by throwing or being thrown:",She pitched the stone into the river.
,,attorney   ( noun ),,"a 
lawyer :",a defense attorney
,,wilful   ( adjective ),,"(of something bad) done intentionally or (of a person) determined to do exactly as you want, even if you know it is wrong:",The present crisis is the result of years of wilful neglect by the council.
,,petulant   ( adjective ),,easily annoyed and complaining in a rude way like a child,
,,looting   ( noun ),,the activity of stealing from shops during a violent event:,There were reports of widespread looting as hooligans stampeded through the city centre.
,,renovation   ( noun ),,"the act or process of repairing and improving something, especially a building:",The museum is closed for renovation.
,,vanity   ( noun ),,the fact that you are too interested in your appearance or achievements:,He wants the job purely for reasons of vanity and ambition.
,,oligarch   ( noun ),,"someone who is extremely rich and powerful, especially a person from Russia who became rich after the end of the former Soviet Union:",The Russian oligarchs spent money on London real estate.
,,blatant   ( adjective ),,"very obvious and intentional, when this is a bad thing:",The whole episode was a blatant attempt to gain publicity.
,,outrageous   ( adjective ),,shocking and morally unacceptable:,"The judge criticized the ""outrageous greed"" of some of the bankers."
,,mastermind   ( verb ),,"to plan a difficult activity, often a crime, in detail and make certain that it happens successfully:",He's believed to have masterminded the attacks.
,,de facto   ( adjective ),,"existing in fact, although perhaps not intended, legal, or accepted:",He's her de facto husband though they're not actually married.
,,brandish   ( verb ),,to wave something in the air in a threatening or excited way:,She brandished a saucepan at me so I ran out of the kitchen.
,,affectation   ( noun ),,behaviour or speech that is not sincere:,She has so many little affectations.
,,rummage   ( verb ),,"to search for something by moving things around carelessly and looking into, under, and behind them:","She rummaged in/through all the drawers, looking for a pen."
,,scare someone away/off   ( phrasal verb ),,to make someone so worried about doing something that they decide not to do it:,"If you charge as much as that, you'll scare customers off."
,,taster   ( noun ),,a small amount or short experience of something that is intended either to make you understand what it is like or to make you want more of it,
,,draw   ( noun ),,someone or something that a lot of people are interested in:,We need someone at the event who'll be a big draw and attract the paying public.
,,squeak   ( verb ),,"to make a short, very high cry or sound:",The mice in the cupboard squeaked.
,,runoff   ( noun ),,"water from rain or melting snow, or liquid from an industrial or farming process, that flows into a place such as a river:","The plants are fed and watered via an irrigation system, using run-off from the roof."
,,tepee   ( noun ),,a type of tent in the shape of a cone made from animal skins that was the traditional shelter of some Native Americans,
,,bunk   ( noun ),,"one of two beds attached together, one on top of the other:",The twins sleep in bunk beds.
,,glacier   ( noun ),,a large mass of ice that moves slowly,
,,drip   ( verb ),,"If a liquid drips, it falls in drops, or you make it fall in drops:",Water dripped down the wall.
,,crumble   ( verb ),,"to break, or cause something to break, into small pieces:",She nervously crumbled the bread between her fingers.
,,woe   ( noun ),,big problems or troubles:,Unusually poor harvests have added to the country's woes.
,,contraceptive   ( noun ),,any of various devices or drugs intended to prevent pregnancy:,The clinic provides a free supply of contraceptives upon request.
,,maim   ( verb ),,to injure a person so severely that a part of their body will no longer work as it should:,Many children have been maimed for life by these bombs.
,,hysterectomy   ( noun ),,a medical operation to remove part or all of a woman's womb,
,,womb   ( noun ),,the organ in the body of a woman or other female mammal in which a baby develops before birth:,Researchers are looking at how a mother's health can affect the baby in the womb.
,,uterus   ( noun ),,the organ in the body of a woman or other female mammal in which a baby develops before birth:,Conception is the moment when a fertilized egg implants itself in a woman's uterus.
,,brink   ( noun ),,the point where a new or different situation is about to begin:,Scientists are on the brink of (= extremely close to) a major new discovery.
,,whammy   ( noun ),,a magical spell or power that causes someone to have a difficult or unpleasant time:,He put the whammy on me.
,,taper   ( verb ),,"to become gradually narrower at one end, or to make something do this:",The cave tapered to a narrow passageway.
,,cannabis   ( noun ),,"a drug, illegal in many countries, that is made from the dried leaves and flowers of the hemp plant. Cannabis produces a pleasant feeling of being relaxed if smoked or eaten:",Are you in favour of the legalization of cannabis?
,,epilepsy   ( noun ),,a condition of the brain that causes a person to become unconscious for short periods or to move in a violent and uncontrolled way:,She can't drive because she suffers from/has epilepsy.
,,debilitate   ( verb ),,to make someone or something physically weak:,Chemotherapy exhausted and debilitated him.
,,chronic   ( adjective ),,(especially of a disease or something bad) continuing for a long time:,chronic diseases/conditions
,,insomnia   ( noun ),,"the condition of being unable to sleep, over a period of time:",Holly suffered from insomnia caused by stress at work.
,,clamour   ( verb ),,to make a loud complaint or demand:,The children were all clamouring for attention.
,,disingenuous   ( adjective ),,"(of a person or their behaviour) slightly dishonest, or not speaking the complete truth:",It was disingenuous of her to claim she had no financial interest in the case.
,,ingenuous   ( adjective ),,"honest, sincere, and trusting, sometimes in a way that seems silly:",It has to be said it was rather ingenuous of him to ask a complete stranger to take care of his luggage.
,,paralysis   ( noun ),,a condition in which you are unable to move all or part of your body because of illness or injury:,Some nervous disorders can produce paralysis.
,,detention   ( noun ),,the act of officially detaining someone:,Concern has been expressed about the death in detention of a number of political prisoners.
,,niggle   ( verb ),,"to worry someone slightly, usually for a long time:",I just can't remember his name - it's been niggling me for a couple of weeks.
,,thorn   ( noun ),,"a small, sharp pointed growth on the stem of a plant",
,,ill-fitting   ( adjective ),,Ill-fitting clothes do not fit well.,an ill-fitting pair of trousers
,,chafe   ( verb ),,"to make skin damaged or sore by rubbing, or to become damaged and sore like this:",The bracelet was so tight that it started to chafe my wrist.
,,muffin top   ( noun ),,"fat flesh that shows over the top of someone's trousers, especially because these are too tight",Some women advise going a size larger to both breathe and prevent muffin top.
,,feng shui   ( noun ),,"an ancient Chinese belief that the way your house is built or the way that you arrange objects affects your success, health, and happiness:",It's good feng shui to have a loving animal in your home.
,,smirk   ( noun ),,a smile that expresses satisfaction or pleasure about having done something or knowing something that is not known by someone else:,"""Maybe your husband does things that you don't know about,"" he said with a smirk."
,,my hands are tied,,"If your hands are tied, you are not free to behave in the way that you would like:",I'd like to raise people's salaries but my hands are tied.
,,batty   ( adjective ),,silly and slightly crazy and behaving in a confused way:,my batty old aunt
,,con,,"to make someone believe something false, usually so that that person will give you their money or possessions:",She felt she had been conned into buying the car.
,,take the wind out of someone's sail,,"to make someone feel less confident or less determined to do something, usually by saying or doing something that they are not expecting",I was all ready to tell him that the relationship was over when he greeted me with a big bunch of flowers - that took the wind out of my sails.
,,well-off,,to have enough of something,a well-off family
,,banal,,"boring, ordinary, and not original:",banal pop songs
,,catfish,,a fish with a flat head and long hairs around its mouth that lives in rivers or lakes,
,,vascular,,relating to the vessels (= tubes) that carry blood or other liquids in a person's or animal's body:,the vascular system
,,seesaw,,a long board that children play on. The board is balanced on a central point so that when a child sits on each end they can make the board go up and down by pushing off the ground with their feet.,
,,hypertension,,a medical condition in which your blood pressure is extremely high,
,,Cholesterol,,"a substance containing a lot of fat that is found in the body tissue and blood of all animals, thought to be part of the cause of heart disease if there is too much of it:",an oil that is high in polyunsaturates and low in cholesterol
,,Atherosclerosis,,"a form of arteriosclerosis (= hardening of the arteries, the thick tubes carrying blood from the heart) that is caused by a fatty substance building up inside the arteries",
,,angina,,a condition that causes strong chest pains because blood containing oxygen is prevented from reaching the heart muscle by blocked arteries:,The drug has been shown to relieve angina.
,,arrhythmia,,"a medical condition in which the heart does not beat with a regular rhythm, or at the normal rate:",An arrhythmia is a problem with the rate or rhythm of your heartbeat.
,,skim,,to move quickly just above a surface without touching it:,The birds skimmed (across/along/over) the tops of the waves.
,,artery,,one of the thick tubes that carry blood from the heart to other parts of the body:,Hardening of the coronary arteries can lead to a heart attack.
,,Taser,,"a brand name for a weapon that gives someone a small electric shock and makes them unable to move for a short time, sometimes used by police",
,,celery,,"a vegetable with long, thin, whitish or pale green stems that can be eaten uncooked or cooked:",a stick of celery
,,bride,,a woman who is about to get married or has just got married:,He returned from New York with his lovely new bride.
,,inferno,,a very large uncontrolled fire:,The building was an inferno by the time the fire service arrived.
,,engulf,,to surround and cover something or someone completely:,The flames rapidly engulfed the house.
,,rage,,(a period of) extreme or violent anger:,Her sudden towering rages were terrifying.
,,purport,,"to pretend to be or to do something, especially in a way that is not easy to believe:",The study purports to show an increase in the incidence of the disease.
,,blaze,,to burn brightly and strongly:,The sun was blazing down that afternoon.
,,ensue,,"to happen after something else, especially as a result of it:",The police officer said that he had placed the man under arrest and that a scuffle had ensued.
,,scuffle,,"a short and sudden fight, especially one involving a small number of people:",Two police officers were injured in scuffles with demonstrators at Sunday's protest.
,,set something off,,"to cause an activity or event, often a series of events, to begin or happen:",The court's initial verdict in the police officers' trial set off serious riots.
,,riot,,"an occasion when a large number of people behave in a noisy, violent, and uncontrolled way in public, often as a protest:",Food protests and riots have erupted in more than 30 countries.
,,exquisite,,very beautiful and delicate:,an exquisite piece of china
